Time[s],ax[m/s^2],ay[m/s^2],vx[m/s],vy[m/s],psi[rad]
0.201,0.5886,-0.7848,0,0,0
0.202,0.5886,-0.7848,0,0,0
0.203,0.5886,-0.7848,0,0,0
0.204,0.5886,-0.7848,0,0,0
0.205,0.5886,-0.7848,0,0,0
0.206,0.5886,-0.7848,0,0,0
0.207,0.5886,-0.7848,0,0,0
0.208,0.5886,-0.7848,0,0,0
0.209,0.5886,-0.7848,0,0,0
0.21,0.5886,-0.7848,0,0,0
0.211,0.5886,-0.7848,0,0,0
0.212,0.5886,-0.7848,0,0,0
0.213,0.5886,-0.7848,0,0,0
0.214,0.5886,-0.7848,0,0,0
0.215,0.5886,-0.7848,0,0,0
0.216,0.5886,-0.7848,0,0,0
0.217,0.5886,-0.7848,0,0,0
0.218,0.5886,-0.7848,0,0,0
0.219,0.5886,-0.7848,0,0,0
0.22,0.5886,-0.7848,0,0,0
0.221,0.5886,-0.7848,0,0,0
0.222,0.5886,-0.7848,0,0,0
0.223,0.5886,-0.7848,0,0,0
0.224,0.5886,-0.7848,0,0,0
0.225,0.5886,-0.7848,0,0,0
0.226,0.5886,-0.7848,0,0,0
0.227,0.5886,-0.7848,0,0,0
0.228,0.5886,-0.7848,0,0,0
0.229,0.5886,-0.7848,0,0,0
0.23,0.5886,-0.7848,0,0,0
0.231,0.5886,-0.7848,0,0,0
0.232,0.5886,-0.7848,0,0,0
0.233,0.5886,-0.7848,0,0,0
0.234,0.5886,-0.7848,0,0,0
0.235,0.5886,-0.7848,0,0,0
0.236,0.5886,-0.7848,0,0,0
0.237,0.5886,-0.7848,0,0,0
0.238,0.5886,-0.7848,0,0,0
0.239,0.5886,-0.7848,0,0,0
0.24,0.5886,-0.7848,0,0,0
0.241,0.5886,-0.7848,0,0,0
0.242,0.5886,-0.7848,0,0,0
0.243,0.5886,-0.7848,0,0,0
0.244,0.5886,-0.7848,0,0,0
0.245,0.5886,-0.7848,0,0,0
0.246,0.5886,-0.7848,0,0,0
0.247,0.5886,-0.7848,0,0,0
0.248,0.5886,-0.7848,0,0,0
0.249,0.5886,-0.7848,0,0,0
0.25,0.5886,-0.7848,0,0,0
0.251,0.5886,-0.7848,0,0,0
0.252,0.5886,-0.7848,0,0,0
0.253,0.5886,-0.7848,0,0,0
0.254,0.5886,-0.7848,0,0,0
0.255,0.5886,-0.7848,0,0,0
0.256,0.5886,-0.7848,0,0,0
0.257,0.5886,-0.7848,0,0,0
0.258,0.5886,-0.7848,0,0,0
0.259,0.5886,-0.7848,0,0,0
0.26,0.5886,-0.7848,0,0,0
0.261,0.5886,-0.7848,0,0,0
0.262,0.5886,-0.7848,0,0,0
0.263,0.5886,-0.7848,0,0,0
0.264,0.5886,-0.7848,0,0,0
0.265,0.5886,-0.7848,0,0,0
0.266,0.5886,-0.7848,0,0,0
0.267,0.5886,-0.7848,0,0,0
0.268,0.5886,-0.7848,0,0,0
0.269,0.5886,-0.7848,0,0,0
0.27,0.5886,-0.7848,0,0,0
0.271,0.5886,-0.7848,0,0,0
0.272,0.5886,-0.7848,0,0,0
0.273,0.5886,-0.7848,0,0,0
0.274,0.5886,-0.7848,0,0,0
0.275,0.5886,-0.7848,0,0,0
0.276,0.5886,-0.7848,0,0,0
0.277,0.5886,-0.7848,0,0,0
0.278,0.5886,-0.7848,0,0,0
0.279,0.5886,-0.7848,0,0,0
0.28,0.5886,-0.7848,0,0,0
0.281,0.5886,-0.7848,0,0,0
0.282,0.5886,-0.7848,0,0,0
0.283,0.5886,-0.7848,0,0,0
0.284,0.5886,-0.7848,0,0,0
0.285,0.5886,-0.7848,0,0,0
0.286,0.5886,-0.7848,0,0,0
0.287,0.5886,-0.7848,0,0,0
0.288,0.5886,-0.7848,0,0,0
0.289,0.5886,-0.7848,0,0,0
0.29,0.5886,-0.7848,0,0,0
0.291,0.5886,-0.7848,0,0,0
0.292,0.5886,-0.7848,0,0,0
0.293,0.5886,-0.7848,0,0,0
0.294,0.5886,-0.7848,0,0,0
0.295,0.5886,-0.7848,0,0,0
0.296,0.5886,-0.7848,0,0,0
0.297,0.5886,-0.7848,0,0,0
0.298,0.5886,-0.7848,0,0,0
0.299,0.5886,-0.7848,0,0,0
0.3,0.5886,-0.7848,0,0,0
0.301,0.5886,-0.7848,0,0,0
0.302,0.5886,-0.7848,0,0,0
0.303,0.5886,-0.7848,0,0,0
0.304,0.5886,-0.7848,0,0,0
0.305,0.5886,-0.7848,0,0,0
0.306,0.5886,-0.7848,0,0,0
0.307,0.5886,-0.7848,0,0,0
0.308,0.5886,-0.7848,0,0,0
0.309,0.5886,-0.7848,0,0,0
0.31,0.5886,-0.7848,0,0,0
0.311,0.5886,-0.7848,0,0,0
0.312,0.5886,-0.7848,0,0,0
0.313,0.5886,-0.7848,0,0,0
0.314,0.5886,-0.7848,0,0,0
0.315,0.5886,-0.7848,0,0,0
0.316,0.5886,-0.7848,0,0,0
0.317,0.5886,-0.7848,0,0,0
0.318,0.5886,-0.7848,0,0,0
0.319,0.5886,-0.7848,0,0,0
0.32,0.5886,-0.7848,0,0,0
0.321,0.5886,-0.7848,0,0,0
0.322,0.5886,-0.7848,0,0,0
0.323,0.5886,-0.7848,0,0,0
0.324,0.5886,-0.7848,0,0,0
0.325,0.5886,-0.7848,0,0,0
0.326,0.5886,-0.7848,0,0,0
0.327,0.5886,-0.7848,0,0,0
0.328,0.5886,-0.7848,0,0,0
0.329,0.5886,-0.7848,0,0,0
0.33,0.5886,-0.7848,0,0,0
0.331,0.5886,-0.7848,0,0,0
0.332,0.5886,-0.7848,0,0,0
0.333,0.5886,-0.7848,0,0,0
0.334,0.5886,-0.7848,0,0,0
0.335,0.5886,-0.7848,0,0,0
0.336,0.5886,-0.7848,0,0,0
0.337,0.5886,-0.7848,0,0,0
0.338,0.5886,-0.7848,0,0,0
0.339,0.5886,-0.7848,0,0,0
0.34,0.5886,-0.7848,0,0,0
0.341,0.5886,-0.7848,0,0,0
0.342,0.5886,-0.7848,0,0,0
0.343,0.5886,-0.7848,0,0,0
0.344,0.5886,-0.7848,0,0,0
0.345,0.5886,-0.7848,0,0,0
0.346,0.5886,-0.7848,0,0,0
0.347,0.5886,-0.7848,0,0,0
0.348,0.5886,-0.7848,0,0,0
0.349,0.5886,-0.7848,0,0,0
0.35,0.5886,-0.7848,0,0,0
0.351,0.5886,-0.7848,0,0,0
0.352,0.5886,-0.7848,0,0,0
0.353,0.5886,-0.7848,0,0,0
0.354,0.5886,-0.7848,0,0,0
0.355,0.5886,-0.7848,0,0,0
0.356,0.5886,-0.7848,0,0,0
0.357,0.5886,-0.7848,0,0,0
0.358,0.5886,-0.7848,0,0,0
0.359,0.5886,-0.7848,0,0,0
0.36,0.5886,-0.7848,0,0,0
0.361,0.5886,-0.7848,0,0,0
0.362,0.5886,-0.7848,0,0,0
0.363,0.5886,-0.7848,0,0,0
0.364,0.5886,-0.7848,0,0,0
0.365,0.5886,-0.7848,0,0,0
0.366,0.5886,-0.7848,0,0,0
0.367,0.5886,-0.7848,0,0,0
0.368,0.5886,-0.7848,0,0,0
0.369,0.5886,-0.7848,0,0,0
0.37,0.5886,-0.7848,0,0,0
0.371,0.5886,-0.7848,0,0,0
0.372,0.5886,-0.7848,0,0,0
0.373,0.5886,-0.7848,0,0,0
0.374,0.5886,-0.7848,0,0,0
0.375,0.5886,-0.7848,0,0,0
0.376,0.5886,-0.7848,0,0,0
0.377,0.5886,-0.7848,0,0,0
0.378,0.5886,-0.7848,0,0,0
0.379,0.5886,-0.7848,0,0,0
0.38,0.5886,-0.7848,0,0,0
0.381,0.5886,-0.7848,0,0,0
0.382,0.5886,-0.7848,0,0,0
0.383,0.5886,-0.7848,0,0,0
0.384,0.5886,-0.7848,0,0,0
0.385,0.5886,-0.7848,0,0,0
0.386,0.5886,-0.7848,0,0,0
0.387,0.5886,-0.7848,0,0,0
0.388,0.5886,-0.7848,0,0,0
0.389,0.5886,-0.7848,0,0,0
0.39,0.5886,-0.7848,0,0,0
0.391,0.5886,-0.7848,0,0,0
0.392,0.5886,-0.7848,0,0,0
0.393,0.5886,-0.7848,0,0,0
0.394,0.5886,-0.7848,0,0,0
0.395,0.5886,-0.7848,0,0,0
0.396,0.5886,-0.7848,0,0,0
0.397,0.5886,-0.7848,0,0,0
0.398,0.5886,-0.7848,0,0,0
0.399,0.5886,-0.7848,0,0,0
0.4,0.5886,-0.7848,0,0,0
0.401,0.5886,-0.7848,0,0,0
0.402,0.5886,-0.7848,0,0,0
0.403,0.5886,-0.7848,0,0,0
0.404,0.5886,-0.7848,0,0,0
0.405,0.5886,-0.7848,0,0,0
0.406,0.5886,-0.7848,0,0,0
0.407,0.5886,-0.7848,0,0,0
0.408,0.5886,-0.7848,0,0,0
0.409,0.5886,-0.7848,0,0,0
0.41,0.5886,-0.7848,0,0,0
0.411,0.5886,-0.7848,0,0,0
0.412,0.5886,-0.7848,0,0,0
0.413,0.5886,-0.7848,0,0,0
0.414,0.5886,-0.7848,0,0,0
0.415,0.5886,-0.7848,0,0,0
0.416,0.5886,-0.7848,0,0,0
0.417,0.5886,-0.7848,0,0,0
0.418,0.5886,-0.7848,0,0,0
0.419,0.5886,-0.7848,0,0,0
0.42,0.5886,-0.7848,0,0,0
0.421,0.5886,-0.7848,0,0,0
0.422,0.5886,-0.7848,0,0,0
0.423,0.5886,-0.7848,0,0,0
0.424,0.5886,-0.7848,0,0,0
0.425,0.5886,-0.7848,0,0,0
0.426,0.5886,-0.7848,0,0,0
0.427,0.5886,-0.7848,0,0,0
0.428,0.5886,-0.7848,0,0,0
0.429,0.5886,-0.7848,0,0,0
0.43,0.5886,-0.7848,0,0,0
0.431,0.5886,-0.7848,0,0,0
0.432,0.5886,-0.7848,0,0,0
0.433,0.5886,-0.7848,0,0,0
0.434,0.5886,-0.7848,0,0,0
0.435,0.5886,-0.7848,0,0,0
0.436,0.5886,-0.7848,0,0,0
0.437,0.5886,-0.7848,0,0,0
0.438,0.5886,-0.7848,0,0,0
0.439,0.5886,-0.7848,0,0,0
0.44,0.5886,-0.7848,0,0,0
0.441,0.5886,-0.7848,0,0,0
0.442,0.5886,-0.7848,0,0,0
0.443,0.5886,-0.7848,0,0,0
0.444,0.5886,-0.7848,0,0,0
0.445,0.5886,-0.7848,0,0,0
0.446,0.5886,-0.7848,0,0,0
0.447,0.5886,-0.7848,0,0,0
0.448,0.5886,-0.7848,0,0,0
0.449,0.5886,-0.7848,0,0,0
0.45,0.5886,-0.7848,0,0,0
0.451,0.5886,-0.7848,0,0,0
0.452,0.5886,-0.7848,0,0,0
0.453,0.5886,-0.7848,0,0,0
0.454,0.5886,-0.7848,0,0,0
0.455,0.5886,-0.7848,0,0,0
0.456,0.5886,-0.7848,0,0,0
0.457,0.5886,-0.7848,0,0,0
0.458,0.5886,-0.7848,0,0,0
0.459,0.5886,-0.7848,0,0,0
0.46,0.5886,-0.7848,0,0,0
0.461,0.5886,-0.7848,0,0,0
0.462,0.5886,-0.7848,0,0,0
0.463,0.5886,-0.7848,0,0,0
0.464,0.5886,-0.7848,0,0,0
0.465,0.5886,-0.7848,0,0,0
0.466,0.5886,-0.7848,0,0,0
0.467,0.5886,-0.7848,0,0,0
0.468,0.5886,-0.7848,0,0,0
0.469,0.5886,-0.7848,0,0,0
0.47,0.5886,-0.7848,0,0,0
0.471,0.5886,-0.7848,0,0,0
0.472,0.5886,-0.7848,0,0,0
0.473,0.5886,-0.7848,0,0,0
0.474,0.5886,-0.7848,0,0,0
0.475,0.5886,-0.7848,0,0,0
0.476,0.5886,-0.7848,0,0,0
0.477,0.5886,-0.7848,0,0,0
0.478,0.5886,-0.7848,0,0,0
0.479,0.5886,-0.7848,0,0,0
0.48,0.5886,-0.7848,0,0,0
0.481,0.5886,-0.7848,0,0,0
0.482,0.5886,-0.7848,0,0,0
0.483,0.5886,-0.7848,0,0,0
0.484,0.5886,-0.7848,0,0,0
0.485,0.5886,-0.7848,0,0,0
0.486,0.5886,-0.7848,0,0,0
0.487,0.5886,-0.7848,0,0,0
0.488,0.5886,-0.7848,0,0,0
0.489,0.5886,-0.7848,0,0,0
0.49,0.5886,-0.7848,0,0,0
0.491,0.5886,-0.7848,0,0,0
0.492,0.5886,-0.7848,0,0,0
0.493,0.5886,-0.7848,0,0,0
0.494,0.5886,-0.7848,0,0,0
0.495,0.5886,-0.7848,0,0,0
0.496,0.5886,-0.7848,0,0,0
0.497,0.5886,-0.7848,0,0,0
0.498,0.5886,-0.7848,0,0,0
0.499,0.5886,-0.7848,0,0,0
0.5,0.5886,-0.7848,0,0,0
0.501,0.5886,-0.7848,0,0,0
0.502,0.5886,-0.7848,0,0,0
0.503,0.5886,-0.7848,0,0,0
0.504,0.5886,-0.7848,0,0,0
0.505,0.5886,-0.7848,0,0,0
0.506,0.5886,-0.7848,0,0,0
0.507,0.5886,-0.7848,0,0,0
0.508,0.5886,-0.7848,0,0,0
0.509,0.5886,-0.7848,0,0,0
0.51,0.5886,-0.7848,0,0,0
0.511,0.5886,-0.7848,0,0,0
0.512,0.5886,-0.7848,0,0,0
0.513,0.5886,-0.7848,0,0,0
0.514,0.5886,-0.7848,0,0,0
0.515,0.5886,-0.7848,0,0,0
0.516,0.5886,-0.7848,0,0,0
0.517,0.5886,-0.7848,0,0,0
0.518,0.5886,-0.7848,0,0,0
0.519,0.5886,-0.7848,0,0,0
0.52,0.5886,-0.7848,0,0,0
0.521,0.5886,-0.7848,0,0,0
0.522,0.5886,-0.7848,0,0,0
0.523,0.5886,-0.7848,0,0,0
0.524,0.5886,-0.7848,0,0,0
0.525,0.5886,-0.7848,0,0,0
0.526,0.5886,-0.7848,0,0,0
0.527,0.5886,-0.7848,0,0,0
0.528,0.5886,-0.7848,0,0,0
0.529,0.5886,-0.7848,0,0,0
0.53,0.5886,-0.7848,0,0,0
0.531,0.5886,-0.7848,0,0,0
0.532,0.5886,-0.7848,0,0,0
0.533,0.5886,-0.7848,0,0,0
0.534,0.5886,-0.7848,0,0,0
0.535,0.5886,-0.7848,0,0,0
0.536,0.5886,-0.7848,0,0,0
0.537,0.5886,-0.7848,0,0,0
0.538,0.5886,-0.7848,0,0,0
0.539,0.5886,-0.7848,0,0,0
0.54,0.5886,-0.7848,0,0,0
0.541,0.5886,-0.7848,0,0,0
0.542,0.5886,-0.7848,0,0,0
0.543,0.5886,-0.7848,0,0,0
0.544,0.5886,-0.7848,0,0,0
0.545,0.5886,-0.7848,0,0,0
0.546,0.5886,-0.7848,0,0,0
0.547,0.5886,-0.7848,0,0,0
0.548,0.5886,-0.7848,0,0,0
0.549,0.5886,-0.7848,0,0,0
0.55,0.5886,-0.7848,0,0,0
0.551,0.5886,-0.7848,0,0,0
0.552,0.5886,-0.7848,0,0,0
0.553,0.5886,-0.7848,0,0,0
0.554,0.5886,-0.7848,0,0,0
0.555,0.5886,-0.7848,0,0,0
0.556,0.5886,-0.7848,0,0,0
0.557,0.5886,-0.7848,0,0,0
0.558,0.5886,-0.7848,0,0,0
0.559,0.5886,-0.7848,0,0,0
0.56,0.5886,-0.7848,0,0,0
0.561,0.5886,-0.7848,0,0,0
0.562,0.5886,-0.7848,0,0,0
0.563,0.5886,-0.7848,0,0,0
0.564,0.5886,-0.7848,0,0,0
0.565,0.5886,-0.7848,0,0,0
0.566,0.5886,-0.7848,0,0,0
0.567,0.5886,-0.7848,0,0,0
0.568,0.5886,-0.7848,0,0,0
0.569,0.5886,-0.7848,0,0,0
0.57,0.5886,-0.7848,0,0,0
0.571,0.5886,-0.7848,0,0,0
0.572,0.5886,-0.7848,0,0,0
0.573,0.5886,-0.7848,0,0,0
0.574,0.5886,-0.7848,0,0,0
0.575,0.5886,-0.7848,0,0,0
0.576,0.5886,-0.7848,0,0,0
0.577,0.5886,-0.7848,0,0,0
0.578,0.5886,-0.7848,0,0,0
0.579,0.5886,-0.7848,0,0,0
0.58,0.5886,-0.7848,0,0,0
0.581,0.5886,-0.7848,0,0,0
0.582,0.5886,-0.7848,0,0,0
0.583,0.5886,-0.7848,0,0,0
0.584,0.5886,-0.7848,0,0,0
0.585,0.5886,-0.7848,0,0,0
0.586,0.5886,-0.7848,0,0,0
0.587,0.5886,-0.7848,0,0,0
0.588,0.5886,-0.7848,0,0,0
0.589,0.5886,-0.7848,0,0,0
0.59,0.5886,-0.7848,0,0,0
0.591,0.5886,-0.7848,0,0,0
0.592,0.5886,-0.7848,0,0,0
0.593,0.5886,-0.7848,0,0,0
0.594,0.5886,-0.7848,0,0,0
0.595,0.5886,-0.7848,0,0,0
0.596,0.5886,-0.7848,0,0,0
0.597,0.5886,-0.7848,0,0,0
0.598,0.5886,-0.7848,0,0,0
0.599,0.5886,-0.7848,0,0,0
0.6,0.5886,-0.7848,0,0,0
0.601,0.5886,-0.7848,0,0,0
0.602,0.5886,-0.7848,0,0,0
0.603,0.5886,-0.7848,0,0,0
0.604,0.5886,-0.7848,0,0,0
0.605,0.5886,-0.7848,0,0,0
0.606,0.5886,-0.7848,0,0,0
0.607,0.5886,-0.7848,0,0,0
0.608,0.5886,-0.7848,0,0,0
0.609,0.5886,-0.7848,0,0,0
0.61,0.5886,-0.7848,0,0,0
0.611,0.5886,-0.7848,0,0,0
0.612,0.5886,-0.7848,0,0,0
0.613,0.5886,-0.7848,0,0,0
0.614,0.5886,-0.7848,0,0,0
0.615,0.5886,-0.7848,0,0,0
0.616,0.5886,-0.7848,0,0,0
0.617,0.5886,-0.7848,0,0,0
0.618,0.5886,-0.7848,0,0,0
0.619,0.5886,-0.7848,0,0,0
0.62,0.5886,-0.7848,0,0,0
0.621,0.5886,-0.7848,0,0,0
0.622,0.5886,-0.7848,0,0,0
0.623,0.5886,-0.7848,0,0,0
0.624,0.5886,-0.7848,0,0,0
0.625,0.5886,-0.7848,0,0,0
0.626,0.5886,-0.7848,0,0,0
0.627,0.5886,-0.7848,0,0,0
0.628,0.5886,-0.7848,0,0,0
0.629,0.5886,-0.7848,0,0,0
0.63,0.5886,-0.7848,0,0,0
0.631,0.5886,-0.7848,0,0,0
0.632,0.5886,-0.7848,0,0,0
0.633,0.5886,-0.7848,0,0,0
0.634,0.5886,-0.7848,0,0,0
0.635,0.5886,-0.7848,0,0,0
0.636,0.5886,-0.7848,0,0,0
0.637,0.5886,-0.7848,0,0,0
0.638,0.5886,-0.7848,0,0,0
0.639,0.5886,-0.7848,0,0,0
0.64,0.5886,-0.7848,0,0,0
0.641,0.5886,-0.7848,0,0,0
0.642,0.5886,-0.7848,0,0,0
0.643,0.5886,-0.7848,0,0,0
0.644,0.5886,-0.7848,0,0,0
0.645,0.5886,-0.7848,0,0,0
0.646,0.5886,-0.7848,0,0,0
0.647,0.5886,-0.7848,0,0,0
0.648,0.5886,-0.7848,0,0,0
0.649,0.5886,-0.7848,0,0,0
0.65,0.5886,-0.7848,0,0,0
0.651,0.5886,-0.7848,0,0,0
0.652,0.5886,-0.7848,0,0,0
0.653,0.5886,-0.7848,0,0,0
0.654,0.5886,-0.7848,0,0,0
0.655,0.5886,-0.7848,0,0,0
0.656,0.5886,-0.7848,0,0,0
0.657,0.5886,-0.7848,0,0,0
0.658,0.5886,-0.7848,0,0,0
0.659,0.5886,-0.7848,0,0,0
0.66,0.5886,-0.7848,0,0,0
0.661,0.5886,-0.7848,0,0,0
